84	11	12	12	12	11	10	9	9	8	7	6	6	7	7	7	8	9	10	11	13	14	16	17	18	19	20	21	22	23
87	11	10	18	18	12	8	17	20	13	5	15	22	15	4	14	25	14	2	20	23	10	3	28	17	7	13	19	18	7
88	19	14	7	14	19	17	14	10	4	3	7	11	14	16	15	8	2	3	5	10	17	17	12	6	3	2	6	15	17
89	12	15	22	24	23	20	21	23	23	22	21	22	23	23	22	21	21	21	20	19	18	18	18	18	18	18	19	19	20
104	17	10	8	16	15	14	16	17	13	14	17	15	14	16	17	13	14	16	14	12	15	15	12	12	14	11	9	13	11
105	27	29	31	28	31	30	29	30	29	29	29	28	28	28	27	27	27	26	26	25	24	24	23	22	21	20	19	18	17
107	20	23	23	23	23	24	24	23	23	23	23	22	22	22	21	21	20	20	20	20	18	21	17	22	15	23	15	23	17
109	10	10	12	8	10	13	9	11	11	12	10	12	12	10	10	10	10	9	9	9	9	8	9	8	8	8	9	8	9
121	8	8	10	11	11	9	9	9	10	10	10	9	9	9	9	9	10	10	11	12	14	16	17	17	17	17	17	17	17
122	6	1	2	5	3	3	5	6	4	5	7	5	5	6	7	5	6	8	7	6	8	9	8	9	12	13	14	18	22
125	12	6	12	5	15	5	19	1	23	0	20	0	21	0	21	1	21	3	20	6	20	10	20	15	20	22	28	34	38
129	0	9	41	25	0	12	39	23	3	15	36	20	7	22	30	16	11	29	25	14	18	30	22	14	25	29	21	15	31
136	12	15	19	20	18	18	20	18	17	18	16	16	16	15	15	14	15	13	17	11	24	4	38	12	25	19	20	16	26
138	19	0	22	0	28	0	35	0	37	7	34	21	27	36	24	25	40	26	21	48	28	15	53	29	11	49	31	9	36
139	11	9	7	5	3	3	3	3	2	1	1	1	0	0	0	0	0	0	0	0	0	1	2	3	4	6	7	6	6
150	0	7	0	5	4	0	6	0	1	4	0	8	0	5	5	0	14	0	9	6	0	19	0	8	8	0	19	0	4
153	18	16	10	12	9	2	12	13	14	16	11	10	4	8	11	12	20	13	14	12	5	14	9	16	18	13	22	10	15
156	6	4	6	7	9	12	15	18	23	26	23	27	26	24	31	22	29	27	27	28	26	30	24	33	23	32	25	34	24
158	9	0	5	32	23	8	0	8	19	38	0	0	0	27	10	15	0	1	0	31	0	2	0	9	0	24	0	3	0
163	9	8	8	9	11	12	14	15	14	15	17	19	20	20	19	19	20	21	21	21	20	20	20	21	21	20	20	19	19
167	13	17	11	6	7	17	14	8	7	14	14	7	10	15	10	8	14	11	8	13	12	10	11	12	12	12	12	12	13
170	7	4	0	0	1	1	1	0	1	2	1	0	1	1	2	2	3	1	3	1	4	1	4	1	4	1	4	1	4
181	10	11	10	14	9	15	11	15	15	12	16	11	16	13	15	14	12	14	11	16	12	15	12	11	12	10	16	12	15
196	9	6	7	7	3	6	8	9	2	8	5	6	5	6	11	1	11	6	5	9	6	12	0	13	9	4	12	6	13
216	12	11	12	15	19	15	13	13	14	16	15	13	14	14	14	13	13	13	13	12	12	12	12	11	11	11	10	10	9
223	1	2	1	1	2	2	2	2	2	3	3	4	4	5	6	6	7	8	10	11	12	14	16	20	23	24	23	21	23
235	6	1	17	0	9	7	0	4	9	0	8	1	0	5	0	2	2	0	3	0	1	1	0	1	2	0	1	1	1
237	11	13	13	13	13	12	12	12	12	12	12	12	12	12	11	11	11	11	11	11	11	12	12	12	12	13	13	14	14
238	11	6	16	9	16	12	5	17	8	14	13	3	18	5	12	12	2	18	0	10	6	2	14	0	7	0	4	11	0
263	8	4	6	2	5	9	7	10	3	6	4	11	13	6	11	2	12	11	13	13	3	13	10	17	12	8	12	8	17
274	15	2	0	2	5	0	5	1	7	3	1	0	3	0	2	1	0	1	5	0	2	0	0	1	0	0	2	0	0
276	11	10	12	8	9	9	9	8	7	7	7	6	6	5	5	5	5	5	6	6	7	7	10	10	14	20	10	17	14
278	1	0	1	5	6	3	3	4	5	7	6	5	6	5	6	7	5	7	6	7	8	6	11	8	11	13	10	19	6
290	2	2	2	3	3	3	3	2	3	3	3	3	4	4	4	5	5	5	6	6	7	8	9	11	13	14	13	11	9
296	12	14	10	9	15	16	8	11	14	9	10	14	11	8	10	13	8	8	11	10	7	7	10	8	5	6	9	6	3
307	6	6	4	4	7	6	7	5	5	5	5	6	6	6	5	5	5	5	6	6	6	5	5	5	6	6	6	7	6
330	8	8	7	7	8	7	7	7	7	7	7	8	8	8	8	9	9	10	11	12	13	14	14	14	13	13	14	16	15
333	7	5	8	4	3	2	4	5	6	4	4	3	4	4	4	3	4	3	5	3	5	3	5	3	6	2	7	1	8
338	11	6	5	10	10	8	6	8	8	6	5	6	6	3	4	5	3	4	3	6	0	10	0	8	0	10	0	8	0
341	3	8	0	5	7	0	7	4	0	7	2	2	6	0	3	4	0	3	3	1	2	2	2	2	2	3	3	3	3
343	5	6	9	7	5	6	6	5	5	6	5	4	5	6	5	4	6	7	5	5	8	8	6	6	8	8	7	7	8
361	5	7	5	3	10	7	4	5	6	5	4	7	5	4	4	4	5	3	4	4	3	3	3	4	2	2	3	2	2
372	2	2	0	0	7	0	2	1	3	0	10	0	3	0	6	0	9	0	5	0	7	2	8	2	8	6	9	5	11
378	5	2	0	1	5	1	2	1	4	0	2	0	4	1	0	1	0	3	0	2	0	2	0	0	0	1	1	0	0
384	1	1	1	1	1	1	1	2	2	2	2	2	3	3	3	4	4	5	5	5	5	5	5	6	6	7	7	5	4
415	12	9	9	14	13	8	8	17	13	8	7	14	16	7	7	12	12	3	3	15	16	5	7	14	8	5	5	15	10
430	6	9	6	10	4	9	4	9	4	6	6	6	6	4	5	5	4	4	4	4	4	4	4	3	6	0	0	2	5
431	5	7	5	5	5	6	6	6	5	6	6	6	6	7	7	5	6	10	5	5	10	6	5	9	7	5	7	7	5
442	8	6	7	8	4	8	6	7	7	5	8	6	7	7	7	7	6	8	6	7	7	6	7	6	6	5	5	5	4
455	1	1	2	2	1	2	2	3	4	5	5	6	7	7	6	6	6	6	7	7	7	7	7	7	8	8	8	8	8
475	3	4	0	5	2	2	5	0	2	3	1	4	1	1	2	2	2	2	2	0	3	1	2	1	1	2	0	3	0
486	2	4	10	3	2	9	0	4	6	0	6	2	0	5	0	3	2	0	6	0	1	3	1	2	0	2	4	0	1
499	5	4	4	4	4	6	10	12	12	12	11	8	7	5	5	7	7	10	10	10	9	8	7	5	7	6	7	8	7
506	10	0	5	6	4	7	1	6	2	5	2	4	3	2	2	1	1	1	1	1	1	2	3	5	5	5	6	6	6
511	6	4	0	2	1	0	4	3	3	4	1	1	3	1	4	4	2	4	2	2	4	3	5	5	3	4	4	5	6
515	6	4	1	3	5	4	0	3	8	3	0	3	9	3	0	3	8	2	0	5	7	1	0	8	4	0	0	11	1
538	9	0	14	6	0	12	2	5	0	10	2	5	1	7	2	5	2	5	3	5	5	6	7	8	8	8	8	8	8
596	4	1	0	0	2	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
610	8	4	1	10	7	0	10	7	1	11	6	3	12	5	5	11	4	6	10	4	7	9	4	7	8	4	6	7	4
650	9	3	8	3	3	11	2	2	4	9	1	6	5	1	8	0	1	5	7	0	4	6	0	5	1	1	3	2	0
661	4	3	2	2	4	5	6	4	2	1	3	5	7	5	2	1	2	4	6	6	3	1	2	4	5	5	4	2	2
669	1	0	1	1	1	1	1	2	2	2	2	3	4	4	6	8	9	7	6	5	5	6	6	6	7	8	7	6	6
672	2	4	1	3	3	3	4	2	3	2	4	3	2	2	3	5	4	2	1	3	5	4	2	1	3	5	5	2	0
716	3	5	5	7	6	4	6	4	4	7	4	5	8	2	4	5	2	7	7	2	3	1	5	8	5	3	2	2	6
720	10	8	10	8	9	7	7	6	3	3	2	2	2	2	2	2	2	2	2	2	3	3	3	3	4	1	5	1	5
801	5	3	5	3	5	2	5	3	4	2	6	7	9	8	9	8	9	7	9	4	8	4	7	4	5	2	5	1	5
829	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3	3	3
848	5	0	3	4	7	3	0	3	1	3	5	0	1	0	0	4	3	3	0	0	3	2	1	2	0	0	1	0	5
865	0	4	2	1	6	0	0	4	1	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
922	2	0	0	2	4	2	0	0	1	3	1	0	0	3	1	0	0	2	2	0	0	2	4	1	0	0	3	3	1
949	1	2	2	3	3	3	3	3	3	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	4
962	0	0	0	0	0	0	1	1	1	1	1	2	3	4	6	8	8	6	5	5	6	7	7	6	6	6	6	7	6
964	2	1	2	3	4	2	1	2	3	5	2	0	2	4	5	2	0	1	4	5	3	1	1	4	5	3	2	1	3
